# Dataset "300K (-)" exported from GenX on Fri Dec 16 11:25:27 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
1.200340118207999900e-02 3.828066735987445957e-01 3.592963000000000129e-01 8.008741999999999250e-03 4.157388797938556843e-04
1.216030495679999886e-02 3.641614547299770743e-01 3.661325000000000274e-01 7.730775999999999967e-03 4.162038767339992285e-04
1.232137589759999853e-02 3.464427994710890246e-01 3.349725000000000064e-01 7.041221000000000285e-03 4.166900917349607701e-04
1.248676095744000007e-02 3.295518752391795592e-01 3.141237000000000057e-01 6.573637000000000230e-03 4.171989122256312683e-04
1.265664907583999993e-02 3.134063264264528303e-01 3.139559000000000100e-01 6.490654000000000215e-03 4.177317565029500888e-04
1.283121869567999812e-02 2.979408093800826607e-01 2.815488999999999908e-01 5.974387000000000274e-03 4.182900742833853052e-04
1.301067974975999783e-02 2.830995395609023912e-01 2.850401000000000185e-01 5.773549000000000216e-03 4.188755548966900427e-04
1.319523167423999888e-02 2.688369053468652736e-01 2.768068000000000195e-01 4.751079000000000066e-03 4.194243370941772259e-04
1.319523167423999888e-02 2.688375891728773115e-01 2.614299999999999957e-01 5.436166000000000088e-03 4.194901130563627304e-04
1.338508440191999924e-02 2.551164516184146192e-01 2.432316999999999951e-01 4.305230000000000168e-03 4.200679923489648708e-04
1.338508440191999924e-02 2.551170866161096562e-01 2.441870999999999903e-01 5.185585999999999841e-03 4.201355672172495440e-04
1.358048985215999996e-02 2.419032732517364392e-01 2.462019000000000013e-01 4.120033999999999849e-03 4.207446353302796735e-04
1.358048985215999996e-02 2.419038653812399520e-01 2.293960999999999917e-01 5.926240999999999627e-03 4.208141264036177566e-04
1.378167895103999882e-02 2.291704302542691418e-01 2.253089000000000064e-01 3.852242999999999987e-03 4.214565724182741963e-04
1.398892461119999840e-02 2.168931187067372202e-01 2.070038999999999907e-01 3.586558000000000107e-03 4.222063134059461089e-04
1.420249974527999955e-02 2.050508910013787711e-01 2.059593000000000118e-01 3.476767999999999872e-03 4.229965516389111186e-04
1.442268776255999953e-02 1.936263818967816908e-01 1.882254999999999900e-01 3.259624999999999936e-03 4.238301747923217699e-04
1.464982455552000032e-02 1.826028937012554865e-01 1.872331999999999885e-01 3.243362000000000068e-03 4.247107131713185680e-04
1.488421452671999899e-02 1.719683449343131221e-01 1.732464999999999977e-01 3.231987999999999875e-03 4.256412265047759672e-04
1.512623555519999885e-02 1.617099793049981138e-01 1.628517999999999910e-01 3.133554000000000200e-03 4.266261694543479512e-04
1.537625502335999983e-02 1.518181575442098807e-01 1.473565000000000014e-01 2.918098999999999953e-03 4.276692068601151793e-04
1.563468230015999799e-02 1.422838941384846068e-01 1.389238999999999891e-01 2.750555999999999921e-03 4.287755839085989899e-04
1.590193725119999971e-02 1.331000145740105223e-01 1.338598000000000010e-01 2.620003999999999996e-03 4.299500598737486068e-04
1.617849222527999870e-02 1.242595873078787272e-01 1.228284000000000042e-01 2.463910000000000145e-03 4.311984953558627609e-04
1.646484056447999889e-02 1.157570316716836079e-01 1.176905000000000034e-01 2.416770999999999850e-03 4.325270679171420584e-04
1.676150710079999870e-02 1.075876686246184932e-01 1.092594000000000065e-01 2.376395999999999804e-03 4.339426752799959157e-04
1.706905865279999962e-02 9.974740087193047222e-02 9.840801000000000409e-02 2.345438000000000037e-03 4.354534229440503671e-04
1.738810402559999926e-02 9.223273049796222589e-02 9.295857000000000425e-02 2.219544999999999851e-03 4.370671114610318324e-04
1.771930450751999647e-02 8.504053928514482275e-02 8.351137999999999617e-02 2.037861000000000186e-03 4.387938547996769897e-04
1.806337387007999826e-02 7.816813751592613380e-02 7.832103999999999455e-02 1.916034000000000053e-03 4.406439407543918702e-04
1.842105737471999918e-02 7.161365023631799387e-02 7.035758000000000290e-02 1.762253000000000083e-03 4.426292729319311722e-04
1.879320524927999975e-02 6.537465732586988931e-02 6.540659999999999530e-02 1.683358000000000033e-03 4.447630672680567766e-04
1.918068871487999677e-02 5.944975702439674742e-02 5.955306999999999962e-02 1.598000999999999935e-03 4.470599938819062218e-04
1.958449445567999811e-02 5.383698972687716439e-02 5.317536999999999958e-02 1.484421999999999998e-03 4.495370600871968444e-04
2.000567213567999714e-02 4.853474995743165682e-02 4.672993000000000285e-02 1.369093999999999953e-03 4.522125960714605953e-04
2.044535539199999682e-02 4.354143630180069141e-02 4.572777000000000092e-02 1.339343999999999908e-03 4.551081914274450967e-04
2.090479332480000077e-02 3.885510568127202580e-02 4.069790000000000213e-02 1.237695999999999935e-03 4.582474215923096794e-04
2.138537149055999911e-02 3.447337006639077800e-02 3.532818000000000069e-02 1.145030999999999913e-03 4.616578723730485568e-04
2.188854892223999690e-02 3.039397689943086969e-02 2.976360999999999937e-02 1.036905000000000075e-03 4.653702643310593176e-04
2.241598408895999553e-02 2.661368775342547871e-02 2.605996000000000007e-02 9.517236000000000098e-04 4.694194641418695775e-04
2.296947191615999681e-02 2.312888854821863738e-02 2.292173999999999948e-02 8.819798000000000221e-04 4.738462037243730269e-04
2.355097527551999748e-02 1.993529067116071168e-02 1.886679000000000134e-02 7.942709000000000054e-04 4.786962689313652673e-04
2.372437976831999820e-02 1.905593958634585125e-02 1.897665000000000116e-02 4.085599999999999779e-04 4.594784448294500566e-04
2.406573050111999665e-02 1.744957704649125613e-02 1.736201999999999884e-02 3.782893000000000171e-04 4.613648778562256690e-04
2.416268796479999897e-02 1.702757531718990247e-02 1.691546000000000022e-02 7.613615999999999917e-04 4.840232305010163153e-04
2.441706353855999795e-02 1.592999794006978026e-02 1.579757000000000036e-02 3.427783999999999909e-04 4.633429230745194326e-04
