# Dataset "300K (-)" exported from GenX on Fri Dec 16 10:23:57 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
2.515006663512000043e-02 1.326769210760012953e-02 1.274230999999999975e-02 2.926270000000000021e-04 4.675982260142675273e-04
2.548531143032000193e-02 1.215172076069910394e-02 1.235753000000000025e-02 6.304483000000000266e-04 4.963604960256305610e-04
2.553403423367999955e-02 1.198619604649138817e-02 1.145572000000000083e-02 2.693926000000000133e-04 4.698890081677161508e-04
2.592991488304000405e-02 1.078592581357594102e-02 1.048573000000000040e-02 2.529167000000000242e-04 4.722983425920633440e-04
2.620321181408000188e-02 1.003250717955341507e-02 8.668247000000000452e-03 5.616974999999999529e-04 5.035227597229741548e-04
2.633826487544000186e-02 9.665455595362762442e-03 9.590790999999999553e-03 2.412314999999999891e-04 4.748351644771057123e-04
2.675967199136000327e-02 8.623216222869741279e-03 8.555561999999999195e-03 2.360145000000000016e-04 4.775072201808994534e-04
2.719478698776000430e-02 7.657423219463711968e-03 7.252449999999999695e-03 2.174048000000000094e-04 4.803257313463853953e-04
2.764429210984000254e-02 6.766161184910196233e-03 6.566793999999999930e-03 2.026455000000000031e-04 4.832998370742535221e-04
2.810890109104000056e-02 5.947370046518041589e-03 5.777352999999999829e-03 1.845543999999999961e-04 4.864426312516615812e-04
2.858939064128000404e-02 5.198782494310950561e-03 5.234083999999999959e-03 1.704405000000000091e-04 4.897659369494779345e-04
2.908660044696000091e-02 4.517938965867518766e-03 4.602832999999999751e-03 1.569986000000000049e-04 4.932839355009343814e-04
2.960140168272000147e-02 3.902231463488290645e-03 4.096026000000000007e-03 1.484532000000000104e-04 4.970118228491552433e-04
3.013475998792000329e-02 3.348824374912463733e-03 3.433798999999999966e-03 1.386539999999999908e-04 5.009660904040910473e-04
3.068769348232000191e-02 2.854718752647514204e-03 2.902561000000000117e-03 1.328451999999999932e-04 5.051662306827822647e-04
3.126129375824000106e-02 2.416733394878384667e-03 2.215846999999999956e-03 1.129005000000000010e-04 5.096307000329160317e-04
3.185674687272000566e-02 2.031504526131933108e-03 2.067101999999999915e-03 1.058611000000000019e-04 5.143833316669679627e-04
3.247533334752000095e-02 1.695508042621861854e-03 1.901658000000000081e-03 9.854181000000000648e-05 5.194481279977434173e-04
3.311840717695999775e-02 1.405090641484870763e-03 1.396036999999999929e-03 8.199659000000000635e-05 5.248524445205623090e-04
3.378745880440000432e-02 1.156464727938957436e-03 1.327758999999999971e-03 7.928994000000000406e-05 5.306266412322698358e-04
3.448410462616000038e-02 9.457548902638528024e-04 9.923075999999999858e-04 6.836802999999999533e-05 5.368039557038398277e-04
