# Dataset "300K (+)" exported from GenX on Fri Dec 16 10:23:57 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
1.420174203616000191e-02 3.345318228837364516e-01 3.393318000000000167e-01 5.379786999999999590e-03 4.229965516389111186e-04
1.442191830632000120e-02 3.196687656804118038e-01 3.258448999999999929e-01 5.173416000000000126e-03 4.238301747923217699e-04
1.464904298144000146e-02 3.050435024089672709e-01 3.176013999999999782e-01 5.093758999999999787e-03 4.247107131713185680e-04
1.488342044784000083e-02 2.906590484693422072e-01 2.887559000000000098e-01 5.029318999999999977e-03 4.256412265047759672e-04
1.512542856440000048e-02 2.765166832671174801e-01 2.841709000000000040e-01 4.992021000000000132e-03 4.266261694543479512e-04
1.537543469392000164e-02 2.626211972393410199e-01 2.692728999999999817e-01 4.759605000000000086e-03 4.276692068601151793e-04
1.563384818352000355e-02 2.489776959396521328e-01 2.487182000000000004e-01 4.438285000000000147e-03 4.287755839085989899e-04
1.590108887640000190e-02 2.355933518699082629e-01 2.410731000000000124e-01 4.239427999999999946e-03 4.299500598737486068e-04
1.617762909616000250e-02 2.224752568419165744e-01 2.331045999999999951e-01 4.095019000000000090e-03 4.311984953558627609e-04
1.646396215856000059e-02 2.096321085469172729e-01 2.214708999999999983e-01 3.998433000000000022e-03 4.325270679171420584e-04
1.676061286759999991e-02 1.970736603203219472e-01 2.053737999999999952e-01 3.928155000000000015e-03 4.339426752799959157e-04
1.706814801160000047e-02 1.848103058143034383e-01 1.801483000000000112e-01 3.824806000000000039e-03 4.354534229440503671e-04
1.738717636320000204e-02 1.728531576067797726e-01 1.794661999999999924e-01 3.718510999999999865e-03 4.370671114610318324e-04
1.771835917543999883e-02 1.612137399340614619e-01 1.624424999999999897e-01 3.426605000000000102e-03 4.387938547996769897e-04
1.806241018176000038e-02 1.499040974889171984e-01 1.512902000000000136e-01 3.210117000000000179e-03 4.406439407543918702e-04
1.842007460384000039e-02 1.389374810090062695e-01 1.394447000000000048e-01 2.990416000000000081e-03 4.426292729319311722e-04
1.879220262416000237e-02 1.283261076643783805e-01 1.306660000000000044e-01 2.867768000000000140e-03 4.447630672680567766e-04
1.917966541735999925e-02 1.180837924348006884e-01 1.244335000000000024e-01 2.784750999999999806e-03 4.470599938819062218e-04
1.958344961496000236e-02 1.082232856016707989e-01 1.088897999999999949e-01 2.559446999999999851e-03 4.495370600871968444e-04
2.000460482496000184e-02 9.875782710783732876e-02 1.018362000000000017e-01 2.433890000000000185e-03 4.522125960714605953e-04
2.044426462400000116e-02 8.970055362429688040e-02 9.011590999999999352e-02 2.262688000000000112e-03 4.551081914274450967e-04
2.090367804560000486e-02 8.106386272011820160e-02 8.320916999999999897e-02 2.131103000000000077e-03 4.582474215923096794e-04
2.138423057232000102e-02 7.285918136441828230e-02 7.189391000000000531e-02 1.966910000000000099e-03 4.616578723730485568e-04
2.188738115927999980e-02 6.509803702202555942e-02 6.460486999999999480e-02 1.838440999999999903e-03 4.653702643310593176e-04
2.241478818712000151e-02 5.778993035077725077e-02 5.407499999999999807e-02 1.650914999999999978e-03 4.694194641418695775e-04
2.296824648552000039e-02 5.094344298349403471e-02 4.868287999999999782e-02 1.546077999999999992e-03 4.738462037243730269e-04
