# Dataset "300K (+)" exported from GenX on Fri Dec 16 11:25:27 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
2.633967010751999890e-02 2.283965411248614283e-02 2.300272000000000081e-02 5.262539000000000539e-04 4.748351644771057123e-04
2.676109970687999898e-02 2.064113943115961428e-02 2.045662999999999995e-02 5.143342000000000400e-04 4.775072201808994534e-04
2.719623791807999902e-02 1.858295903555617218e-02 1.779827000000000145e-02 4.796582999999999880e-04 4.803257313463853953e-04
2.764576702271999767e-02 1.666256393086544552e-02 1.621028000000000052e-02 4.483202000000000042e-04 4.832998370742535221e-04
2.811040079231999847e-02 1.487710329703413950e-02 1.458863999999999994e-02 4.130164000000000188e-04 4.864426312516615812e-04
2.859091597823999742e-02 1.322330085263217526e-02 1.275608999999999944e-02 3.745722999999999848e-04 4.897659369494779345e-04
2.908815231167999685e-02 1.169749609328852614e-02 1.132449999999999950e-02 3.467186000000000248e-04 4.932839355009343814e-04
2.960298101375999705e-02 1.029575472296484322e-02 1.009939999999999970e-02 3.281499999999999803e-04 4.970118228491552433e-04
3.013636777535999914e-02 9.013701862365717729e-03 8.709833999999999632e-03 3.108086000000000247e-04 5.009660904040910473e-04
3.068933077055999853e-02 7.846676468726514544e-03 7.569176999999999850e-03 3.014739999999999803e-04 5.051662306827822647e-04
3.126296164991999860e-02 6.789697453881332612e-03 6.762986999999999818e-03 2.775011999999999987e-04 5.096307000329160317e-04
3.185844653376000007e-02 5.837465772871992982e-03 5.908087000000000234e-03 2.516919999999999748e-04 5.143833316669679627e-04
3.247706601215999411e-02 4.984416188804668274e-03 4.769108999999999675e-03 2.193345999999999989e-04 5.194481279977434173e-04
3.312017415167999718e-02 4.224788737905307325e-03 3.717914000000000115e-03 1.880506000000000050e-04 5.248524445205623090e-04
3.378926147519999840e-02 3.552598933074572595e-03 3.251524999999999901e-03 1.742675999999999915e-04 5.306266412322698358e-04
3.448594446527999263e-02 2.961727922769896455e-03 2.938121000000000135e-03 1.648173999999999917e-04 5.368039557038398277e-04
3.521196556416000129e-02 2.445989359547217929e-03 2.314206000000000076e-03 1.439270999999999997e-04 5.434224486247232018e-04
3.596921416703999230e-02 1.999182251540239548e-03 1.894602999999999912e-03 1.281204999999999942e-04 5.505228493528765629e-04
3.675974761536000140e-02 1.615156513369906668e-03 1.548230999999999956e-03 1.145190000000000059e-04 5.581526000394605204e-04
3.758581219007999658e-02 1.287885102242756694e-03 1.302227999999999893e-03 1.030042999999999991e-04 5.663626719972283128e-04
3.844985360831999766e-02 1.011542285172396805e-03 1.017179999999999907e-03 9.065771000000000517e-05 5.752126115426278111e-04
3.935454851327999798e-02 7.805710338786165780e-04 7.549460999999999715e-04 7.727918000000000233e-05 5.847674082302808853e-04
4.030285695744000030e-02 5.897452847916862450e-04 6.388796999999999879e-04 6.972849000000000093e-05 5.951004001804149467e-04
4.129799091263999800e-02 4.342399328336658901e-04 5.852486000000000060e-04 6.607239000000000048e-05 6.062957993011743691e-04
4.234350873983999675e-02 3.096573451771215523e-04 4.738898000000000177e-04 5.879277000000000190e-05 6.184474962557452065e-04
4.106600961808000438e-02 4.662592624214904717e-04 3.877030742420000103e-04 1.871065000000000017e-05 5.713552159954523799e-04
4.165688919888000524e-02 3.868396594940544603e-04 3.222617317479999858e-04 1.651085000000000134e-05 5.762786832313078478e-04
4.344334667903999858e-02 2.120521186293160146e-04 2.920574999999999799e-04 4.766683999999999846e-05 6.316642647609566367e-04
4.226501623940000923e-02 3.172534437931485312e-04 2.870623680320000411e-04 1.487962000000000036e-05 5.814175432416534639e-04
4.289115864060000227e-02 2.567519149603129675e-04 2.188439816639999849e-04 1.270414000000000031e-05 5.867845360268537881e-04
4.460182934591999659e-02 1.379280728558565183e-04 2.576653000000000146e-04 4.325225000000000250e-05 6.460662405866445098e-04
4.353614492720000312e-02 2.046357714976326195e-04 2.019252312440000113e-04 1.181012000000000035e-05 5.923935423181535785e-04
4.582380618815999618e-02 8.419685955346661638e-05 1.252565000000000026e-04 2.952463000000000060e-05 6.617958048147554910e-04
4.420081372788000479e-02 1.602576071710937514e-04 1.603048851360000060e-04 1.030268000000000077e-05 5.982592427411046344e-04
4.488610471092000648e-02 1.230122482577495431e-04 1.346731733160000096e-04 9.255602000000000428e-06 6.043971331805024407e-04
4.711460949888000155e-02 4.811747410799932002e-05 1.468856999999999953e-04 3.552177000000000058e-05 6.790087810569241491e-04
4.559296764856000245e-02 9.233917070953790709e-05 1.184825703819999948e-04 8.669018000000000421e-06 6.108261087365535842e-04
4.632246345660000209e-02 6.771191099821264670e-05 8.813076427540000456e-05 7.806049000000000180e-06 6.175618765550866312e-04
4.707567325875999797e-02 4.863610537119170493e-05 6.868403463460000604e-05 6.935984999999999967e-06 6.246279392566426178e-04
